2026-03-28 13:17:59 | INFO     | src.ingestion.bronze_ingestion | Ingesting /home/rohan/projects/airflow/data/customers_dataset.csv → local.db.customers
2026-03-28 13:18:03 | INFO     | src.ingestion.bronze_ingestion | ✅ local.db.customers loaded  rows=99441  partition=customer_state
2026-03-28 13:18:03 | INFO     | src.ingestion.bronze_ingestion | Ingesting /home/rohan/projects/airflow/data/geolocation_dataset.csv → local.db.geolocation
2026-03-28 13:18:09 | INFO     | src.ingestion.bronze_ingestion | ✅ local.db.geolocation loaded  rows=1000163  partition=geolocation_state
2026-03-28 13:18:09 | INFO     | src.ingestion.bronze_ingestion | Ingesting /home/rohan/projects/airflow/data/orders_dataset.csv → local.db.orders
2026-03-28 13:18:11 | INFO     | src.ingestion.bronze_ingestion | ✅ local.db.orders loaded  rows=99441  partition=order_status
2026-03-28 13:18:11 | INFO     | src.ingestion.bronze_ingestion | Ingesting /home/rohan/projects/airflow/data/order_items_dataset.csv → local.db.order_items
2026-03-28 13:18:12 | INFO     | src.ingestion.bronze_ingestion | ✅ local.db.order_items loaded  rows=112650  partition=none
2026-03-28 13:18:12 | INFO     | src.ingestion.bronze_ingestion | Ingesting /home/rohan/projects/airflow/data/order_reviews_dataset.csv → local.db.order_reviews
2026-03-28 13:18:13 | INFO     | src.ingestion.bronze_ingestion | ✅ local.db.order_reviews loaded  rows=105189  partition=none
2026-03-28 13:18:13 | INFO     | src.ingestion.bronze_ingestion | Ingesting /home/rohan/projects/airflow/data/order_payments_dataset.csv → local.db.order_payments
2026-03-28 13:18:14 | INFO     | src.ingestion.bronze_ingestion | ✅ local.db.order_payments loaded  rows=103886  partition=payment_type
2026-03-28 13:18:14 | INFO     | src.ingestion.bronze_ingestion | Ingesting /home/rohan/projects/airflow/data/product_category_name_translation.csv → local.db.product_category_translation
2026-03-28 13:18:14 | INFO     | src.ingestion.bronze_ingestion | ✅ local.db.product_category_translation loaded  rows=71  partition=none
2026-03-28 13:18:14 | INFO     | src.ingestion.bronze_ingestion | Ingesting /home/rohan/projects/airflow/data/products_dataset.csv → local.db.products
2026-03-28 13:18:16 | INFO     | src.ingestion.bronze_ingestion | ✅ local.db.products loaded  rows=32951  partition=product_category_name
